Chiltern,99,2023-03-21,16:40:00+00:00
c2c,98,2023-03-21,16:40:00+00:00
Greater Anglia,95,2023-03-21,16:40:00+00:00
Elizabeth line,94,2023-03-21,16:40:00+00:00
London Overground,94,2023-03-21,16:40:00+00:00
Merseyrail,93,2023-03-21,16:40:00+00:00
Govia Thameslink Railway,92,2023-03-21,16:40:00+00:00
South Western Railway,92,2023-03-21,16:40:00+00:00
West Midlands Trains,92,2023-03-21,16:40:00+00:00
CrossCountry,90,2023-03-21,16:40:00+00:00
Great Western Railway,90,2023-03-21,16:40:00+00:00
Northern Trains,87,2023-03-21,16:40:00+00:00
ScotRail,86,2023-03-21,16:40:00+00:00
Caledonian Sleeper,83,2023-03-21,16:40:00+00:00
Southeastern,83,2023-03-21,16:40:00+00:00
TransPennine Express,83,2023-03-21,16:40:00+00:00
Transport for Wales,82,2023-03-21,16:40:00+00:00
Avanti West Coast,80,2023-03-21,16:40:00+00:00
London North Eastern Railway,72,2023-03-21,16:40:00+00:00
East Midlands Railway,54,2023-03-21,16:40:00+00:00
Caledonian Sleeper,100,2023-03-22,16:17:00+00:00
Merseyrail,98,2023-03-22,16:17:00+00:00
c2c,98,2023-03-22,16:17:00+00:00
Elizabeth line,97,2023-03-22,16:17:00+00:00
Greater Anglia,96,2023-03-22,16:17:00+00:00
South Western Railway,95,2023-03-22,16:17:00+00:00
CrossCountry,94,2023-03-22,16:17:00+00:00
Chiltern,93,2023-03-22,16:17:00+00:00
London North Eastern Railway,93,2023-03-22,16:17:00+00:00
Govia Thameslink Railway,92,2023-03-22,16:17:00+00:00
ScotRail,92,2023-03-22,16:17:00+00:00
London Overground,91,2023-03-22,16:17:00+00:00
East Midlands Railway,89,2023-03-22,16:17:00+00:00
Great Western Railway,89,2023-03-22,16:17:00+00:00
Southeastern,88,2023-03-22,16:17:00+00:00
West Midlands Trains,87,2023-03-22,16:17:00+00:00
Northern Trains,85,2023-03-22,16:17:00+00:00
Transport for Wales,85,2023-03-22,16:17:00+00:00
Avanti West Coast,84,2023-03-22,16:17:00+00:00
TransPennine Express,80,2023-03-22,16:17:00+00:00
Caledonian Sleeper,100,2023-03-22,16:18:00+00:00
Merseyrail,98,2023-03-22,16:18:00+00:00
c2c,98,2023-03-22,16:18:00+00:00
Elizabeth line,97,2023-03-22,16:18:00+00:00
Greater Anglia,96,2023-03-22,16:18:00+00:00
South Western Railway,95,2023-03-22,16:18:00+00:00
CrossCountry,94,2023-03-22,16:18:00+00:00
Chiltern,93,2023-03-22,16:18:00+00:00
London North Eastern Railway,93,2023-03-22,16:18:00+00:00
Govia Thameslink Railway,92,2023-03-22,16:18:00+00:00
ScotRail,92,2023-03-22,16:18:00+00:00
London Overground,91,2023-03-22,16:18:00+00:00
East Midlands Railway,89,2023-03-22,16:18:00+00:00
Great Western Railway,89,2023-03-22,16:18:00+00:00
Southeastern,88,2023-03-22,16:18:00+00:00
West Midlands Trains,87,2023-03-22,16:18:00+00:00
Northern Trains,85,2023-03-22,16:18:00+00:00
Transport for Wales,85,2023-03-22,16:18:00+00:00
Avanti West Coast,84,2023-03-22,16:18:00+00:00
TransPennine Express,80,2023-03-22,16:18:00+00:00
Caledonian Sleeper,100,2023-03-22,16:19:00+00:00
Merseyrail,98,2023-03-22,16:19:00+00:00
c2c,98,2023-03-22,16:19:00+00:00
Elizabeth line,97,2023-03-22,16:19:00+00:00
Greater Anglia,96,2023-03-22,16:19:00+00:00
South Western Railway,95,2023-03-22,16:19:00+00:00
CrossCountry,94,2023-03-22,16:19:00+00:00
Chiltern,93,2023-03-22,16:19:00+00:00
London North Eastern Railway,93,2023-03-22,16:19:00+00:00
Govia Thameslink Railway,92,2023-03-22,16:19:00+00:00
ScotRail,92,2023-03-22,16:19:00+00:00
London Overground,91,2023-03-22,16:19:00+00:00
East Midlands Railway,89,2023-03-22,16:19:00+00:00
Great Western Railway,89,2023-03-22,16:19:00+00:00
Southeastern,88,2023-03-22,16:19:00+00:00
West Midlands Trains,87,2023-03-22,16:19:00+00:00
Northern Trains,85,2023-03-22,16:19:00+00:00
Transport for Wales,85,2023-03-22,16:19:00+00:00
Avanti West Coast,84,2023-03-22,16:19:00+00:00
TransPennine Express,80,2023-03-22,16:19:00+00:00
Caledonian Sleeper,100,2023-03-22,16:20:00+00:00
Merseyrail,98,2023-03-22,16:20:00+00:00
c2c,98,2023-03-22,16:20:00+00:00
Elizabeth line,97,2023-03-22,16:20:00+00:00
Greater Anglia,96,2023-03-22,16:20:00+00:00
South Western Railway,95,2023-03-22,16:20:00+00:00
CrossCountry,94,2023-03-22,16:20:00+00:00
London North Eastern Railway,94,2023-03-22,16:20:00+00:00
Chiltern,93,2023-03-22,16:20:00+00:00
Govia Thameslink Railway,92,2023-03-22,16:20:00+00:00
ScotRail,92,2023-03-22,16:20:00+00:00
London Overground,91,2023-03-22,16:20:00+00:00
East Midlands Railway,89,2023-03-22,16:20:00+00:00
Great Western Railway,89,2023-03-22,16:20:00+00:00
Southeastern,88,2023-03-22,16:20:00+00:00
West Midlands Trains,87,2023-03-22,16:20:00+00:00
Northern Trains,85,2023-03-22,16:20:00+00:00
Transport for Wales,85,2023-03-22,16:20:00+00:00
Avanti West Coast,84,2023-03-22,16:20:00+00:00
TransPennine Express,80,2023-03-22,16:20:00+00:00
