c2c,99,2023-03-21,17:19:00+00:00
Chiltern,98,2023-03-21,17:19:00+00:00
Greater Anglia,95,2023-03-21,17:19:00+00:00
Elizabeth line,94,2023-03-21,17:19:00+00:00
London Overground,94,2023-03-21,17:19:00+00:00
Merseyrail,94,2023-03-21,17:19:00+00:00
Govia Thameslink Railway,92,2023-03-21,17:19:00+00:00
South Western Railway,91,2023-03-21,17:19:00+00:00
West Midlands Trains,91,2023-03-21,17:19:00+00:00
CrossCountry,90,2023-03-21,17:19:00+00:00
Great Western Railway,90,2023-03-21,17:19:00+00:00
Northern Trains,87,2023-03-21,17:19:00+00:00
ScotRail,86,2023-03-21,17:19:00+00:00
Caledonian Sleeper,83,2023-03-21,17:19:00+00:00
Southeastern,83,2023-03-21,17:19:00+00:00
TransPennine Express,83,2023-03-21,17:19:00+00:00
Transport for Wales,82,2023-03-21,17:19:00+00:00
Avanti West Coast,80,2023-03-21,17:19:00+00:00
London North Eastern Railway,71,2023-03-21,17:19:00+00:00
East Midlands Railway,53,2023-03-21,17:19:00+00:00
c2c,99,2023-03-21,17:22:00+00:00
Chiltern,98,2023-03-21,17:22:00+00:00
Greater Anglia,96,2023-03-21,17:22:00+00:00
Elizabeth line,94,2023-03-21,17:22:00+00:00
London Overground,94,2023-03-21,17:22:00+00:00
Merseyrail,94,2023-03-21,17:22:00+00:00
Govia Thameslink Railway,92,2023-03-21,17:22:00+00:00
South Western Railway,91,2023-03-21,17:22:00+00:00
West Midlands Trains,91,2023-03-21,17:22:00+00:00
CrossCountry,90,2023-03-21,17:22:00+00:00
Great Western Railway,90,2023-03-21,17:22:00+00:00
Northern Trains,87,2023-03-21,17:22:00+00:00
ScotRail,86,2023-03-21,17:22:00+00:00
Caledonian Sleeper,83,2023-03-21,17:22:00+00:00
Southeastern,83,2023-03-21,17:22:00+00:00
TransPennine Express,83,2023-03-21,17:22:00+00:00
Transport for Wales,82,2023-03-21,17:22:00+00:00
Avanti West Coast,81,2023-03-21,17:22:00+00:00
London North Eastern Railway,71,2023-03-21,17:22:00+00:00
East Midlands Railway,53,2023-03-21,17:22:00+00:00
c2c,99,2023-03-21,17:23:00+00:00
Chiltern,98,2023-03-21,17:23:00+00:00
Greater Anglia,96,2023-03-21,17:23:00+00:00
Elizabeth line,94,2023-03-21,17:23:00+00:00
London Overground,94,2023-03-21,17:23:00+00:00
Merseyrail,94,2023-03-21,17:23:00+00:00
Govia Thameslink Railway,92,2023-03-21,17:23:00+00:00
South Western Railway,91,2023-03-21,17:23:00+00:00
West Midlands Trains,91,2023-03-21,17:23:00+00:00
CrossCountry,90,2023-03-21,17:23:00+00:00
Great Western Railway,90,2023-03-21,17:23:00+00:00
Northern Trains,87,2023-03-21,17:23:00+00:00
ScotRail,86,2023-03-21,17:23:00+00:00
Caledonian Sleeper,83,2023-03-21,17:23:00+00:00
Southeastern,83,2023-03-21,17:23:00+00:00
TransPennine Express,83,2023-03-21,17:23:00+00:00
Transport for Wales,82,2023-03-21,17:23:00+00:00
Avanti West Coast,81,2023-03-21,17:23:00+00:00
London North Eastern Railway,71,2023-03-21,17:23:00+00:00
East Midlands Railway,53,2023-03-21,17:23:00+00:00
c2c,99,2023-03-21,17:24:00+00:00
Chiltern,98,2023-03-21,17:24:00+00:00
Greater Anglia,96,2023-03-21,17:24:00+00:00
Elizabeth line,94,2023-03-21,17:24:00+00:00
London Overground,94,2023-03-21,17:24:00+00:00
Merseyrail,94,2023-03-21,17:24:00+00:00
Govia Thameslink Railway,92,2023-03-21,17:24:00+00:00
South Western Railway,91,2023-03-21,17:24:00+00:00
West Midlands Trains,91,2023-03-21,17:24:00+00:00
CrossCountry,90,2023-03-21,17:24:00+00:00
Great Western Railway,90,2023-03-21,17:24:00+00:00
Northern Trains,87,2023-03-21,17:24:00+00:00
ScotRail,86,2023-03-21,17:24:00+00:00
Caledonian Sleeper,83,2023-03-21,17:24:00+00:00
Southeastern,83,2023-03-21,17:24:00+00:00
TransPennine Express,83,2023-03-21,17:24:00+00:00
Transport for Wales,82,2023-03-21,17:24:00+00:00
Avanti West Coast,81,2023-03-21,17:24:00+00:00
London North Eastern Railway,71,2023-03-21,17:24:00+00:00
East Midlands Railway,53,2023-03-21,17:24:00+00:00
c2c,99,2023-03-21,17:25:00+00:00
Chiltern,98,2023-03-21,17:25:00+00:00
